Show,Week,Theater,This Week Gross,Potential Gross,Diff $,Avg Ticket,Top Ticket,Seats Sold,Seats in Theatre,Performances,Previews,% Cap,Diff % cap,Genre,Number of Awards,Awards,Season,Month
Wicked,2025-05-04,Gershwin Theatre,"$2,232,068.00",,"-$345,699.00",$144.86,$352.00,"15,408","1,926",8,0,100.00%,0.00%,Original,33,1,Spring,5
The Picture of Dorian Gray,2025-05-04,Music Box Theatre,"$1,344,831.26",,"$25,612.38",$168.06,$497.00,"8,002",995,8,0,100.53%,-0.14%,Play,17,1,Spring,5
The Outsiders,2025-05-04,Bernard B. Jacobs Theatre,"$1,124,988.24",,"-$204,211.86",$138.00,$497.00,"8,152","1,024",8,0,99.51%,-2.30%,Original,31,1,Spring,5
The Lion King,2025-05-04,Minskoff Theatre,"$1,999,729.00",,"-$320,876.00",$153.10,$222.00,"13,062","1,696",8,0,96.27%,-2.15%,Original,32,1,Spring,5
The Last Five Years,2025-05-04,Hudson Theatre,"$613,501.45",,"-$146,227.05",$94.46,$425.00,"6,495",968,8,0,83.87%,-8.70%,One Act,3,1,Spring,5
The Great Gatsby,2025-05-04,Broadway Theatre,"$908,293.65",,"-$208,758.16",$91.50,$277.00,"9,927","1,485",8,0,83.56%,-12.10%,Original,7,1,Spring,5
The Book of Mormon,2025-05-04,Eugene O'Neill Theatre,"$720,185.46",,"-$118,646.64",$98.80,$229.00,"7,289","1,066",8,0,85.47%,-7.83%,Original,36,1,Spring,5
Sunset Boulevard,2025-05-04,St. James Theatre,"$1,020,970.88",,"$25,158.18",$95.49,$0.00,"10,692","1,648",8,0,81.10%,-2.61%,Revival,24,1,Spring,5
Stranger Things: The First Shadow,2025-05-04,Marquis Theatre,"$906,491.82",,"-$174,228.21",$92.48,$281.00,"9,802","1,594",8,0,76.87%,-18.53%,Original,20,1,Spring,5
Stephen Sondheim's Old Friends,2025-05-04,Samuel J. Friedman Theatre,"$595,908.00",,"-$62,008.00",$120.07,$400.00,"4,963",643,8,0,96.48%,-1.58%,Original,4,1,Spring,5
Smash,2025-05-04,Imperial Theatre,"$909,705.03",,"-$71,269.67",$102.42,$305.00,"8,882","1,411",8,0,78.69%,-4.08%,Original,10,1,Spring,5
SIX: The Musical,2025-05-04,Lena Horne Theatre,"$618,732.00",,"-$111,818.70",$98.48,$269.00,"6,283","1,031",8,0,76.18%,-5.78%,One Act,28,1,Spring,5
Redwood,2025-05-04,Nederlander Theatre,"$565,168.95",,"-$77,758.10",$79.66,$374.00,"7,095","1,153",8,0,76.92%,1.62%,One Act,3,1,Spring,5
Real Women Have Curves,2025-05-04,James Earl Jones Theatre,"$317,422.10",,"-$50,544.33",$52.83,$275.00,"6,008","1,055",8,0,71.18%,-14.65%,Original,11,1,Spring,5
Purpose,2025-05-04,Helen Hayes Theater,"$420,256.30",,"-$30,373.70",$99.78,$280.00,"4,212",581,8,0,90.62%,3.89%,Original,19,1,Spring,5
Pirates! The Penzance Musical,2025-05-04,Todd Haimes Theatre,"$471,585.60",,"-$16,688.90",$85.00,$344.00,"5,548",727,8,0,95.39%,-2.65%,Revival,13,1,Spring,5
Othello,2025-05-04,Ethel Barrymore Theatre,"$3,065,728.00",,"-$56,317.00",$367.42,$897.00,"8,344","1,043",8,0,100.00%,0.00%,Revival,3,1,Spring,5
Operation Mincemeat,2025-05-04,John Golden Theatre,"$744,470.51",,"-$49,023.45",$123.20,$325.00,"6,043",790,8,0,95.62%,-0.91%,Musical,17,1,Spring,5
"Oh, Mary!",2025-05-04,Lyceum Theatre,"$1,041,790.44",,"-$15,438.90",$146.07,$375.00,"7,132",895,8,0,99.61%,-0.08%,Comedy,9,1,Spring,5
Moulin Rouge! The Musical,2025-05-04,Al Hirschfeld Theatre,"$1,178,861.50",,"-$35,162.00",$117.29,$0.00,"10,051","1,300",8,0,96.64%,-0.45%,Original,24,1,Spring,5
MJ The Musical,2025-05-04,Neil Simon Theatre,"$1,227,846.10",,"-$272,219.50",$125.28,$269.00,"9,801","1,387",8,0,88.33%,-6.05%,Original,30,1,Spring,5
Maybe Happy Ending,2025-05-04,Belasco Theatre,"$903,408.00",,"$10,654.61",$119.25,$297.00,"7,576",973,8,0,97.33%,3.68%,One Act,34,1,Spring,5
Just in Time,2025-05-04,Circle in the Square Theatre,"$1,119,011.00",,"$213,493.90",$196.15,$496.50,"5,705",690,8,0,103.35%,-2.83%,Original,25,1,Spring,5
John Proctor is the Villain,2025-05-04,Booth Theatre,"$502,586.48",,"-$13,767.69",$84.85,$375.00,"5,923",772,8,0,95.90%,-1.72%,One Act,15,1,Spring,5
Hell's Kitchen,2025-05-04,Sam S. Shubert Theatre,"$911,779.35",,"-$270,836.69",$91.94,$297.00,"9,917","1,457",8,0,85.08%,-8.36%,Original,26,1,Spring,5
Harry Potter and the Cursed Child,2025-05-04,Lyric Theatre,"$814,959.90",,"-$196,990.70",$88.23,$219.00,"9,237","1,622",8,0,71.19%,-10.90%,Original,33,1,Spring,5
Hamilton,2025-05-04,Richard Rodgers Theatre,"$1,674,491.00",,"-$308,925.00",$165.73,$325.00,"10,104","1,324",8,0,95.39%,-4.70%,Original,46,1,Spring,5
Hadestown,2025-05-04,Walter Kerr Theatre,"$614,059.50",,"-$177,407.00",$93.71,$0.00,"6,553",901,8,0,90.91%,-6.83%,Original,39,1,Spring,5
Gypsy,2025-05-04,Majestic Theatre,"$1,117,085.20",,"-$123,341.16",$113.68,$397.00,"9,827","1,590",8,0,77.26%,5.29%,Revival,19,1,Spring,5
"Good Night, and Good Luck",2025-05-04,Winter Garden Theatre,"$4,003,481.50",,"$62,540.00",$319.36,$825.00,"12,536","1,537",8,0,101.95%,0.07%,One Act,10,1,Spring,5
Glengarry Glen Ross,2025-05-04,Palace Theatre,"$2,326,856.00",,"$19,904.00",$228.50,$799.00,"10,183","1,306",8,0,97.46%,-1.85%,Drama,5,1,Spring,5
Floyd Collins,2025-05-04,Vivian Beaumont Theater,"$501,742.00",,"-$10,667.00",$87.20,$277.00,"5,754","1,057",8,0,68.05%,-13.81%,Revival,14,1,Spring,5
Death Becomes Her,2025-05-04,Lunt-Fontanne Theatre,"$1,076,188.35",,"-$100,367.75",$100.33,$275.00,"10,726","1,491",8,0,89.92%,-1.70%,Musical,33,1,Spring,5
Dead Outlaw,2025-05-04,Longacre Theatre,"$484,688.50",,"$41,953.20",$67.39,$297.00,"7,192","1,048",8,0,85.78%,-5.33%,One Act,9,1,Spring,5
Chicago,2025-05-04,Ambassador Theatre,"$584,500.85",,"-$86,738.05",$98.78,$237.00,"5,917","1,080",8,0,68.48%,-9.01%,Revival,25,1,Spring,5
Cabaret,2025-05-04,August Wilson Theatre,"$750,986.00",,"-$141,176.00",$109.89,$0.00,"6,834","1,070",8,0,79.84%,-9.98%,Revival,22,1,Spring,5
Buena Vista Social Club,2025-05-04,Gerald Schoenfeld Theatre,"$1,075,909.40",,"$32,712.50",$134.69,$347.00,"7,988","1,049",8,0,95.19%,0.99%,Original,19,1,Spring,5
BOOP! The Musical,2025-05-04,Broadhurst Theatre,"$508,021.60",,"-$41,807.78",$70.76,$297.00,"7,180","1,137",8,0,78.94%,2.85%,Original,29,1,Spring,5
Aladdin,2025-05-04,New Amsterdam Theatre,"$1,283,449.60",,"-$225,765.30",$98.87,$225.50,"12,981","1,727",8,0,93.96%,-4.94%,Original,23,1,Spring,5
& Juliet,2025-05-04,Stephen Sondheim Theatre,"$781,751.30",,"-$252,741.30",$104.29,$324.00,"7,496","1,026",8,0,91.33%,-7.28%,Original,22,1,Spring,5
Wicked,2025-04-27,Gershwin Theatre,"$2,577,767.00",,"-$755,510.00",$167.30,$352.00,"15,408","1,926",8,0,100.00%,0.00%,Original,33,1,Spring,4
The Picture of Dorian Gray,2025-04-27,Music Box Theatre,"$1,319,218.88",,"$180,140.88",$188.14,$497.00,"7,012",995,7,0,100.67%,-0.13%,Play,17,1,Spring,4
